Time,Temperature(c),Humidity(%),Air Quality(μg/m3)
03-23-2023_12:56:12,18.6,58.8,123.66377697073277
03-23-2023_12:56:23,18.3,58.6,104.5169426557207
03-23-2023_12:56:33,18.5,58.6,99.99055452131718
03-23-2023_12:56:49,18.6,58.8,83.94631488998078
03-23-2023_12:56:59,18.6,57.9,111.63590990936004
03-23-2023_12:57:10,18.7,57.9,83.20254219183936
03-23-2023_12:57:20,18.7,58.5,124.79006134220407
03-23-2023_12:57:31,18.7,58.3,125.72508987701042
03-23-2023_12:57:42,18.8,58.3,83.92506424146245
03-23-2023_12:57:52,18.7,57.2,121.32620563371687
03-23-2023_12:58:03,18.6,57.1,84.32882656331064
03-23-2023_12:58:13,18.5,57.3,91.00153019806513
03-23-2023_12:58:24,18.5,57.5,124.4288003173925
03-23-2023_12:58:34,18.4,57.1,121.68746665852841
03-23-2023_12:58:45,18.3,56.9,125.23632496108891
03-23-2023_12:58:55,18.1,57.0,81.82125003814814
03-23-2023_12:59:06,18.0,57.1,114.65350199896238
03-23-2023_12:59:16,17.9,57.5,102.8381414227729
03-23-2023_12:59:27,17.7,57.7,82.01250587481309
03-23-2023_12:59:38,17.6,58.3,122.962505569628
03-23-2023_12:59:48,17.6,58.6,96.9304611346782
03-23-2023_12:59:59,17.5,58.6,102.00936613055819
03-23-2023_13:00:09,17.4,59.1,124.19504318369093
03-23-2023_13:00:20,17.4,59.9,81.90625263222145
03-23-2023_13:00:30,17.3,60.8,102.85939207129124
03-23-2023_13:00:41,17.3,61.3,124.55630420850245
03-23-2023_13:00:51,17.2,61.0,86.77265114291819
03-23-2023_13:01:02,17.2,61.2,83.81881099887082
03-23-2023_13:01:12,17.1,61.3,121.04994720297861
03-23-2023_13:01:23,17.1,61.6,88.89771599475083
03-23-2023_13:01:33,17.1,61.8,93.19034699545274
03-23-2023_13:01:44,17.0,61.9,100.11805841242713
03-23-2023_13:01:55,17.0,62.3,94.97540147099217
03-23-2023_13:02:05,16.9,62.7,124.79006134220407
03-23-2023_13:02:16,16.9,63.9,82.11875911740471
03-23-2023_13:02:29,16.8,63.9,98.24800134281443
03-23-2023_13:02:44,16.8,63.9,82.24626300851467
03-23-2023_13:02:55,16.8,63.9,90.27900814844205
03-23-2023_13:03:05,16.8,63.9,120.87994201483201
03-23-2023_13:03:16,16.8,63.9,125.08757042146063
03-23-2023_13:03:27,16.8,64.5,124.47130161442915
03-23-2023_13:03:37,16.8,64.4,81.69374614703818
03-23-2023_13:03:50,16.7,64.5,90.89527695547349
03-23-2023_13:04:01,16.8,64.9,121.55996276741844
03-23-2023_13:04:11,16.8,64.9,124.76881069368574
03-23-2023_13:04:22,16.8,65.3,103.79442060609762
03-23-2023_13:04:35,16.7,65.3,83.30879543443099
03-23-2023_13:04:45,16.7,65.4,82.52252143925291
03-23-2023_13:04:56,16.7,65.5,83.9675655384991
03-23-2023_13:05:07,16.7,65.6,84.26507461775567
03-23-2023_13:05:17,16.7,65.6,82.03375652333142
03-23-2023_13:05:28,16.7,65.8,82.24626300851467
03-23-2023_13:05:38,16.7,65.9,103.34815698721276
03-23-2023_13:05:49,16.7,66.0,124.4288003173925
03-23-2023_13:05:59,16.7,66.1,82.33126560258798
03-23-2023_13:06:10,16.7,66.1,83.47880062257761
03-23-2023_13:06:20,16.7,66.1,121.58121341593677
03-23-2023_13:06:31,16.7,66.4,82.43751884517961
03-23-2023_13:06:41,16.7,66.4,85.49761223181861
03-23-2023_13:06:52,16.7,66.6,125.08757042146063
03-23-2023_13:07:03,16.7,66.7,81.48123966185493
03-23-2023_13:07:13,16.6,66.7,82.60752403332621
03-23-2023_13:07:24,16.6,66.7,124.57755485702079
03-23-2023_13:07:34,16.6,66.9,82.18251106295969
